sample	20x	30x
AFS-0005.dedup.realign.base.txt.gz	87.34940214103838920311	81.05040170945471065249
AFS-0007.dedup.realign.base.txt.gz	81.44365263948572685367	70.37244326534970962125
AFS-0008.dedup.realign.base.txt.gz	84.06524282440793749953	75.34946560212043769784
AFS-0009.dedup.realign.base.txt.gz	84.63058603490568902024	76.25712980827424593859
AFS-0010.dedup.realign.base.txt.gz	82.26271615525061127598	72.26888911456408478046
AFS-0012.dedup.realign.base.txt.gz	82.20714099852469091110	72.15307747188766679774
AFS-0013.dedup.realign.base.txt.gz	83.19477261080904906709	74.11538915938146061800
AFS-0015.dedup.realign.base.txt.gz	85.55348251143849763458	78.36749265667498237706
AFS-0018.dedup.realign.base.txt.gz	81.08173924276271861154	70.82095204669640371363
AFS-0019.dedup.realign.base.txt.gz	85.39962482259285391170	78.12072568874803606876
AFS-0023.dedup.realign.base.txt.gz	72.92539400835576282596	60.86316574641386499009
AFS-0024.dedup.realign.base.txt.gz	85.06270768303508906577	77.51448712613832309244
AFS-0025.dedup.realign.base.txt.gz	84.79014877838625072168	77.27095763980826699784
AFS-0028.dedup.realign.base.txt.gz	79.78200474041397403362	68.15339767653516021789
AFS-0031.dedup.realign.base.txt.gz	84.75224930476693394144	77.69347314851286443915
AFS-0035.dedup.realign.base.txt.gz	80.26077028384901771023	68.94869711096645348950
AFS-0048.dedup.realign.base.txt.gz	83.08267199181384255321	73.61700866525640250239
AFS-0056.dedup.realign.base.txt.gz	78.86991436539038753057	66.84292311085902064248
AFS-0063.dedup.realign.base.txt.gz	81.34928729902950449055	71.35114039483906776959
AFS-0069.dedup.realign.base.txt.gz	81.03018597237880564149	70.79212074292310280558
AFS-0070.dedup.realign.base.txt.gz	80.47787805469878173245	68.80182980527031400913
AFS-0071.dedup.realign.base.txt.gz	82.25776168092621610318	72.09331130664676716120
AFS-0072.dedup.realign.base.txt.gz	85.24796733268320622459	77.76202239193677021265
AFS-0080.dedup.realign.base.txt.gz	82.48398916361756837911	72.69120973009792415418
AFS-0081.dedup.realign.base.txt.gz	83.46930621816325427784	74.35986895125488249673
AFS-0084.dedup.realign.base.txt.gz	76.80296437344785105716	66.81230877617638766152
AFS-0085.dedup.realign.base.txt.gz	80.62706313950831674392	70.10604362917177086780
AFS-0086.dedup.realign.base.txt.gz	82.60536250975371865431	73.30742811160033950068
AFS-0105.dedup.realign.base.txt.gz	78.69057560248364769789	68.75810286477659484423
AFS-0110.dedup.realign.base.txt.gz	82.25254949662395902282	72.44375338798019724316
AFS-0111.dedup.realign.base.txt.gz	82.46681279359307224037	72.98204349355189501797
AFS-0128.dedup.realign.base.txt.gz	84.66509984369084498994	77.05526727383674346719
AFS-0137.dedup.realign.base.txt.gz	86.05068076104011424927	79.39986433180352932203
AFS-0139.dedup.realign.base.txt.gz	82.72880558914957237458	72.11304061613945782169
AFS-0142.dedup.realign.base.txt.gz	84.55129189609230333849	75.64999409280410119658
AFS-0148.dedup.realign.base.txt.gz	82.52261666792434504821	71.86352903694828219790
AFS-0152.dedup.realign.base.txt.gz	86.20477199955319532588	79.51627192880375296598
AFS-0154.dedup.realign.base.txt.gz	81.60101357334293088242	70.35540702512567589475
AFS-0161.dedup.realign.base.txt.gz	85.61278318803188420059	77.57137982512606245971
AFS-0163.dedup.realign.base.txt.gz	84.25586767365766724632	75.34762458646608669573
AFS-0165.dedup.realign.base.txt.gz	87.59956926998575105425	81.60336839826564406273
AFS-0166.dedup.realign.base.txt.gz	83.88166473236536928752	74.64102731572750036864
AFS-0175.dedup.realign.base.txt.gz	80.54932653537363396598	71.75124641028121071181
AFS-0179.dedup.realign.base.txt.gz	73.55055492608998636472	61.24957125515792427176
AFS-0180.dedup.realign.base.txt.gz	80.61357846491669243095	71.79209827383440797051
AFS-0184.dedup.realign.base.txt.gz	78.85840278281676844734	69.09858123409093892523
AFS-0186.dedup.realign.base.txt.gz	86.40083614002317295907	79.51264788224006989094
AFS-0187.dedup.realign.base.txt.gz	85.86993264669194210964	78.55597045967165010651
AFS-0189.dedup.realign.base.txt.gz	86.60057586905240604880	80.08710919389204802844
AFS-0191.dedup.realign.base.txt.gz	82.42682586915307400890	72.05732694030043668150
AFS-0200.dedup.realign.base.txt.gz	80.82864388419190083577	69.43061476956822062293
AFS-0201.dedup.realign.base.txt.gz	80.30882191990873201134	68.31754765762166387386
AFS-0207.dedup.realign.base.txt.gz	78.25821396193736375094	68.32862757598236426193
AFS-0214.dedup.realign.base.txt.gz	84.85388367728622373462	75.89989384764943131863
AFS-0215.dedup.realign.base.txt.gz	80.99091258244001256658	71.87486344391212121968
AFS-0216.dedup.realign.base.txt.gz	81.57479963653228997301	72.36062581324611568649
AFS-0225.dedup.realign.base.txt.gz	76.47623322076507810746	64.71613608343167250795
AFS-0230.dedup.realign.base.txt.gz	86.26555128714456458650	78.91173425204792857954
AFS-0255.dedup.realign.base.txt.gz	80.83024329674200629955	72.35218581147113821396
AFS-0270.dedup.realign.base.txt.gz	76.12473936058449911528	63.36957245673069605290
AFS-0273.dedup.realign.base.txt.gz	87.67023334591548610665	81.49242908485817776979
AFS-0274.dedup.realign.base.txt.gz	81.28126636106021562754	70.54585147739090230625
AFS-0275.dedup.realign.base.txt.gz	80.85210998836358915585	70.19282907490412987487
AFS-0321.dedup.realign.base.txt.gz	82.64572150297425501481	73.06957146615796864619
AFS-0362.dedup.realign.base.txt.gz	81.60573610868725033842	72.11836232718230621276
AFS-0373.dedup.realign.base.txt.gz	83.38802932320769354482	74.62504446503797718928
AFS-0376.dedup.realign.base.txt.gz	78.23776467519402138622	67.28291135606265541623
AFS-0378.dedup.realign.base.txt.gz	81.06564364395788084763	72.59649648117158821585
AFS-0399.dedup.realign.base.txt.gz	79.28843375875076376781	70.38060139683640063238
AFS-0409.dedup.realign.base.txt.gz	84.47206540614810640748	76.53418253066205129572
AFS-0419.dedup.realign.base.txt.gz	88.24491371104864686557	83.50551285936549065281
AFS-0431.dedup.realign.base.txt.gz	69.08972084291457421600	55.72692696394532715033
